Image number,Square,Radius,Circumference,Alcohol concentration
2250,2370319.62,868.62,6151.91,0.0
2251,2370274.7,868.61,6151.91,0.0
2252,2370229.78,868.6,6151.91,0.0
2253,2357774.98,866.32,6318.12,0.0
226,512836.64,404.03,4121.39,0.0
227,512881.56,404.05,4121.39,0.0
2278,2115765.59,820.65,5620.71,0.0
2279,2115720.67,820.64,5620.71,0.0
2284,2158756.54,828.95,5856.05,0.0
2285,2285528.18,852.94,6090.44,0.0
2286,2285438.33,852.92,6090.44,0.0
2287,2285483.26,852.93,6090.44,0.0
2290,1953696.01,788.59,5258.98,0.0
2291,1953718.47,788.6,5258.98,0.0
2292,1953999.24,788.66,5261.75,0.0
2293,2076873.83,813.07,5521.8,0.0
231,655218.89,456.69,4694.71,0.0
2318,2066822.4,811.1,5581.73,0.0
2319,2066822.4,811.1,5585.65,0.0
232,655050.43,456.63,4691.93,0.0
2324,1995215.74,796.93,5406.91,0.0
2325,1927191.66,783.23,5282.53,0.0
2327,1926540.28,783.09,5282.53,0.0
233,593180.75,434.53,4338.16,0.0
2330,2066934.7,811.13,5537.03,0.0
2331,2066901.01,811.12,5539.8,0.0
2333,1978212.53,793.53,5428.16,0.0
2441,1881325.67,773.85,5276.98,0.0
2442,1881145.98,773.81,5276.98,0.0
2443,2227342.15,842.01,5749.68,0.0
2455,2302508.93,856.1,5937.6,0.0
2456,2302419.08,856.09,5937.6,0.0
2457,2302497.7,856.1,5940.37,0.0
2469,2019664.88,801.8,5371.09,0.0
2480,2099997.75,817.59,5477.18,0.0
2481,2100345.9,817.66,5479.96,0.0
2482,2100334.67,817.65,5477.18,0.0
2494,2181184.16,833.24,5947.11,0.0
2495,2098155.93,817.23,5835.07,0.0
2496,2097796.55,817.16,5839.0,0.0
2508,1986545.68,795.2,5427.77,0.0
2509,1986467.06,795.18,5430.54,0.0
2520,2000235.84,797.93,5651.53,0.0
2521,2000213.38,797.93,5651.53,0.0
2522,2000235.84,797.93,5651.53,0.0
2523,2128624.69,823.14,5745.76,0.0
2534,2039408.37,805.71,5770.54,0.0
